Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2024-05-15,GOOG,172.3,174.0459,172.03,173.88,20958245.0,173.4346,223635
2024-05-16,GOOG,174.6,176.34,174.05,175.43,17247311.0,175.4309,226159
2024-05-17,GOOG,175.55,177.495,174.98,177.29,16546353.0,176.8975,188342
2024-05-20,GOOG,177.31,179.95,177.225,178.46,17495122.0,178.5407,193443
2024-05-21,GOOG,178.4,179.82,177.31,179.54,14706021.0,179.071,159471
2024-05-22,GOOG,178.4,178.852,176.7801,178.0,16189404.0,177.6124,169057
2024-05-23,GOOG,178.78,179.91,174.54,175.06,14928363.0,176.4908,191884
2024-05-24,GOOG,176.52,177.3044,175.2,176.33,11403560.0,176.5098,148201
2024-05-28,GOOG,175.74,178.51,175.68,178.02,15655340.0,177.5501,184114
2024-05-29,GOOG,176.81,178.23,176.26,177.4,15023847.0,177.5469,164171
2024-05-30,GOOG,176.69,176.69,173.23,173.56,18844036.0,174.3788,218895
2024-05-31,GOOG,173.4,174.42,170.97,173.96,28085151.0,173.3087,250233
2024-06-03,GOOG,173.88,175.86,172.45,174.42,20742798.0,173.9811,249250
2024-06-04,GOOG,174.45,175.19,173.22,175.13,14066602.0,174.5037,161979
2024-06-05,GOOG,176.535,177.97,175.29,177.07,15233861.0,176.6961,206187
2024-06-06,GOOG,177.43,178.71,177.21,178.35,14255818.0,178.0701,195562
2024-06-07,GOOG,178.46,179.42,175.79,175.95,14716270.0,177.4007,217054
2024-06-10,GOOG,176.45,178.47,174.38,176.63,17122247.0,175.9581,244887
2024-06-11,GOOG,177.72,178.39,175.44,178.19,14402401.0,177.3426,182446
2024-06-12,GOOG,179.75,182.08,177.78,179.56,18600421.0,179.4906,241285
2024-06-13,GOOG,177.84,178.51,176.66,176.74,15956941.0,177.3442,178623
2024-06-14,GOOG,175.852,178.73,175.852,178.37,12361571.0,178.0069,146244
2024-06-17,GOOG,176.98,179.92,176.49,178.78,15272864.0,178.2346,186291
2024-06-18,GOOG,178.79,178.91,175.62,176.45,15640257.0,176.7619,216758
2024-06-20,GOOG,176.71,178.74,176.46,177.71,16753166.0,177.4855,204030
2024-06-21,GOOG,178.49,182.5117,178.06,180.26,59728019.0,180.3509,321390
2024-06-24,GOOG,181.28,182.08,180.23,180.79,18198282.0,180.9668,231156
2024-06-25,GOOG,181.145,185.75,181.105,185.58,18917734.0,184.2021,216817
2024-06-26,GOOG,184.2,185.93,183.99,185.37,13375715.0,185.2563,178681
2024-06-27,GOOG,185.645,187.5,185.45,186.86,13025656.0,186.6436,192618
2024-06-28,GOOG,185.72,186.58,183.325,183.42,23032362.0,184.343,217423
2024-07-01,GOOG,184.48,185.34,182.73,184.49,11815862.0,184.0987,173780
2024-07-02,GOOG,183.47,186.95,183.06,186.61,12555545.0,185.803,146381
2024-07-03,GOOG,186.3,187.62,185.385,187.39,7409106.0,186.9202,109331
2024-07-05,GOOG,187.32,192.26,187.32,191.96,14303361.0,191.3264,197375
2024-07-08,GOOG,191.365,191.6791,189.32,190.48,12097611.0,190.4938,179302
2024-07-09,GOOG,191.75,192.86,190.23,190.44,10224925.0,191.1762,159433
2024-07-10,GOOG,190.75,193.31,190.62,192.66,12047799.0,192.2599,157755
2024-07-11,GOOG,191.34,192.41,186.82,187.3,16451981.0,188.5245,240355
